epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,52.3861,1.08864,1.97483,1.47695,0.62915,0.59068,0.62851,0.42083,1.6936,1.7028,1.38921,2.87504e-05,2.87504e-05,2.87504e-05
42,53.7503,0.83493,1.18238,1.21806,0.62915,0.59068,0.62851,0.42083,1.6936,1.7028,1.38921,2.89861e-05,2.89861e-05,2.89861e-05
43,55.0891,0.72128,0.85056,1.04969,0.59177,0.5064,0.56489,0.34765,1.67828,1.73978,1.38947,2.91983e-05,2.91983e-05,2.91983e-05
44,56.3891,0.83612,1.12045,1.21527,0.59177,0.5064,0.56489,0.34765,1.67828,1.73978,1.38947,2.93869e-05,2.93869e-05,2.93869e-05
45,57.781,0.64143,0.98335,1.17149,0.60403,0.5,0.55477,0.33801,1.68811,1.78531,1.39726,2.9552e-05,2.9552e-05,2.9552e-05
46,59.0561,0.70659,0.92931,1.02861,0.60403,0.5,0.55477,0.33801,1.68811,1.78531,1.39726,2.96935e-05,2.96935e-05,2.96935e-05
47,60.415,0.75885,0.95169,1.06257,0.61587,0.5,0.5319,0.31492,1.70379,1.83643,1.40954,2.98114e-05,2.98114e-05,2.98114e-05
48,61.6713,0.71855,0.83162,1.15725,0.61587,0.5,0.5319,0.31492,1.70379,1.83643,1.40954,2.99058e-05,2.99058e-05,2.99058e-05
49,63.1192,0.99525,1.20693,1.40569,0.79204,0.5,0.53332,0.31303,1.71788,1.86625,1.42055,2.99766e-05,2.99766e-05,2.99766e-05
50,64.3604,0.94316,1.58456,1.35763,0.79204,0.5,0.53332,0.31303,1.71788,1.86625,1.42055,3.00238e-05,3.00238e-05,3.00238e-05
51,65.6746,0.6738,0.8947,1.11649,0.80464,0.49935,0.51504,0.30693,1.71533,1.88768,1.42371,3.00475e-05,3.00475e-05,3.00475e-05
52,66.8996,0.85082,1.78674,1.41545,0.80464,0.49935,0.51504,0.30693,1.71533,1.88768,1.42371,3.00476e-05,3.00476e-05,3.00476e-05
53,68.1588,0.88034,0.84716,1.28827,0.80464,0.49935,0.51504,0.30693,1.71533,1.88768,1.42371,3.00242e-05,3.00242e-05,3.00242e-05
54,69.4625,0.83497,0.89359,1.17739,0.81425,0.49892,0.52206,0.29849,1.71055,1.94692,1.43222,2.99772e-05,2.99772e-05,2.99772e-05
55,70.8294,0.77918,0.73167,1.18907,0.81425,0.49892,0.52206,0.29849,1.71055,1.94692,1.43222,2.99066e-05,2.99066e-05,2.99066e-05
56,72.0562,0.85857,1.08979,1.28621,0.81425,0.49892,0.52206,0.29849,1.71055,1.94692,1.43222,2.98125e-05,2.98125e-05,2.98125e-05
57,73.3437,0.72021,0.81209,1.121,0.81346,0.41598,0.53031,0.30166,1.71127,1.96268,1.43149,2.96948e-05,2.96948e-05,2.96948e-05
58,74.5787,0.70023,0.88167,1.09697,0.81346,0.41598,0.53031,0.30166,1.71127,1.96268,1.43149,2.95535e-05,2.95535e-05,2.95535e-05
59,75.8603,0.64269,0.80458,1.08631,0.81346,0.41598,0.53031,0.30166,1.71127,1.96268,1.43149,2.93887e-05,2.93887e-05,2.93887e-05
60,77.1693,0.48167,0.84066,0.94383,0.83174,0.41662,0.52398,0.30381,1.72719,1.98163,1.43401,2.92003e-05,2.92003e-05,2.92003e-05
61,78.3603,0.79441,0.81946,1.27064,0.83174,0.41662,0.52398,0.30381,1.72719,1.98163,1.43401,2.89884e-05,2.89884e-05,2.89884e-05
62,79.654,0.86478,0.97938,1.28785,0.83174,0.41662,0.52398,0.30381,1.72719,1.98163,1.43401,2.87529e-05,2.87529e-05,2.87529e-05
63,81.0139,0.89702,0.73343,1.38078,0.83082,0.41577,0.52938,0.28772,1.7166,2.00879,1.43003,2.84938e-05,2.84938e-05,2.84938e-05
64,82.2343,0.71783,1.04372,1.12924,0.83082,0.41577,0.52938,0.28772,1.7166,2.00879,1.43003,2.82112e-05,2.82112e-05,2.82112e-05
65,83.4774,0.58646,0.68592,1.07811,0.83082,0.41577,0.52938,0.28772,1.7166,2.00879,1.43003,2.7905e-05,2.7905e-05,2.7905e-05
66,84.726,0.96117,1.21828,1.23874,0.83711,0.4153,0.53015,0.28803,1.73451,2.02205,1.44007,2.75753e-05,2.75753e-05,2.75753e-05
67,86.0304,0.87697,1.24295,1.25793,0.83711,0.4153,0.53015,0.28803,1.73451,2.02205,1.44007,2.7222e-05,2.7222e-05,2.7222e-05
68,87.3313,0.94336,1.34174,1.41191,0.83711,0.4153,0.53015,0.28803,1.73451,2.02205,1.44007,2.68451e-05,2.68451e-05,2.68451e-05
69,88.6353,0.64375,0.65818,1.02881,0.83752,0.49822,0.53146,0.28781,1.74971,2.04804,1.44366,2.64447e-05,2.64447e-05,2.64447e-05
70,89.9152,1.15039,1.14625,1.4869,0.83752,0.49822,0.53146,0.28781,1.74971,2.04804,1.44366,2.60207e-05,2.60207e-05,2.60207e-05
71,91.2528,0.76338,0.63675,1.17165,0.83752,0.49822,0.53146,0.28781,1.74971,2.04804,1.44366,2.55731e-05,2.55731e-05,2.55731e-05
72,92.4927,0.68587,1.03349,1.10521,0.85753,0.40987,0.4649,0.29832,1.71492,2.09151,1.44203,2.5102e-05,2.5102e-05,2.5102e-05
73,93.7646,0.59807,0.63432,0.95744,0.85753,0.40987,0.4649,0.29832,1.71492,2.09151,1.44203,2.46073e-05,2.46073e-05,2.46073e-05
74,95.0436,0.75522,0.87472,1.23107,0.85753,0.40987,0.4649,0.29832,1.71492,2.09151,1.44203,2.40891e-05,2.40891e-05,2.40891e-05
75,96.3298,0.8731,0.85852,1.38714,0.85404,0.40885,0.46383,0.29754,1.74093,2.12639,1.44938,2.35472e-05,2.35472e-05,2.35472e-05
76,97.5734,0.61818,0.73564,1.08238,0.85404,0.40885,0.46383,0.29754,1.74093,2.12639,1.44938,2.29819e-05,2.29819e-05,2.29819e-05
77,98.9146,0.79621,1.01418,1.21247,0.85404,0.40885,0.46383,0.29754,1.74093,2.12639,1.44938,2.23929e-05,2.23929e-05,2.23929e-05
78,100.189,0.74871,0.84042,1.15117,0.85436,0.40893,0.42632,0.28045,1.76665,2.20157,1.48013,2.17805e-05,2.17805e-05,2.17805e-05
79,101.465,0.78437,0.77011,1.15675,0.85436,0.40893,0.42632,0.28045,1.76665,2.20157,1.48013,2.11444e-05,2.11444e-05,2.11444e-05
80,102.749,0.87848,0.74476,1.32791,0.85436,0.40893,0.42632,0.28045,1.76665,2.20157,1.48013,2.04848e-05,2.04848e-05,2.04848e-05
81,104.058,0.66407,0.58003,1.16098,0.85584,0.4089,0.42451,0.2758,1.77715,2.26589,1.51635,1.98016e-05,1.98016e-05,1.98016e-05
82,105.329,0.65981,0.65662,1.16768,0.85584,0.4089,0.42451,0.2758,1.77715,2.26589,1.51635,1.90949e-05,1.90949e-05,1.90949e-05
83,106.662,0.60751,0.96221,1.06103,0.85584,0.4089,0.42451,0.2758,1.77715,2.26589,1.51635,1.83646e-05,1.83646e-05,1.83646e-05
84,108.089,0.62429,0.70732,0.98357,0.85843,0.40931,0.42424,0.27868,1.79526,2.24819,1.5201,1.76107e-05,1.76107e-05,1.76107e-05
85,109.312,0.58681,0.60029,1.07572,0.85843,0.40931,0.42424,0.27868,1.79526,2.24819,1.5201,1.68333e-05,1.68333e-05,1.68333e-05
86,110.581,0.82163,0.99952,1.34414,0.85843,0.40931,0.42424,0.27868,1.79526,2.24819,1.5201,1.60323e-05,1.60323e-05,1.60323e-05
87,111.912,0.52982,0.71199,1.07956,0.85843,0.40931,0.42424,0.27868,1.79526,2.24819,1.5201,1.52077e-05,1.52077e-05,1.52077e-05
88,113.155,0.68741,0.95683,1.14421,0.86367,0.41011,0.4238,0.27751,1.84881,2.2508,1.53965,1.43596e-05,1.43596e-05,1.43596e-05
89,114.51,0.52645,0.63992,1.05393,0.86367,0.41011,0.4238,0.27751,1.84881,2.2508,1.53965,1.34879e-05,1.34879e-05,1.34879e-05
90,115.765,0.59548,0.54905,1.00939,0.86367,0.41011,0.4238,0.27751,1.84881,2.2508,1.53965,1.25927e-05,1.25927e-05,1.25927e-05
91,117.077,0.5473,0.52128,1.02108,0.86367,0.41011,0.4238,0.27751,1.84881,2.2508,1.53965,1.16739e-05,1.16739e-05,1.16739e-05
92,118.462,0.55067,0.51726,0.86945,0.86267,0.40963,0.42351,0.27625,1.88431,2.21874,1.54687,1.07315e-05,1.07315e-05,1.07315e-05
93,119.725,0.60308,0.60828,1.07992,0.86267,0.40963,0.42351,0.27625,1.88431,2.21874,1.54687,9.76562e-06,9.76562e-06,9.76562e-06
94,120.946,0.43714,0.46864,0.89339,0.86267,0.40963,0.42351,0.27625,1.88431,2.21874,1.54687,8.77613e-06,8.77613e-06,8.77613e-06
95,122.249,0.46427,0.43429,0.9062,0.86267,0.40963,0.42351,0.27625,1.88431,2.21874,1.54687,7.76308e-06,7.76308e-06,7.76308e-06
96,123.526,0.58501,0.46348,0.98467,0.83205,0.49911,0.51461,0.29499,1.87596,2.05697,1.51721,6.72648e-06,6.72648e-06,6.72648e-06
97,124.764,0.5649,0.54929,0.90469,0.83205,0.49911,0.51461,0.29499,1.87596,2.05697,1.51721,5.6663e-06,5.6663e-06,5.6663e-06
98,126.242,0.60077,0.56614,0.98746,0.83205,0.49911,0.51461,0.29499,1.87596,2.05697,1.51721,4.58257e-06,4.58257e-06,4.58257e-06
99,127.523,0.6106,0.532,1.04804,0.83205,0.49911,0.51461,0.29499,1.87596,2.05697,1.51721,3.47528e-06,3.47528e-06,3.47528e-06
100,128.827,0.41941,0.45514,0.95283,0.64201,0.5134,0.53968,0.28757,1.81148,2.10077,1.52148,2.34442e-06,2.34442e-06,2.34442e-06
