epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.58116,2.9472,5.50249,4.391,0,0,0,0,3.37883,5.96472,4.15881,0,0,0
2,3.00725,2.9745,5.68914,4.28246,0,0,0,0,3.37898,5.9648,4.15874,9.5438e-07,9.5438e-07,9.5438e-07
3,4.38263,3.27108,5.46507,4.25828,0,0,0,0,3.37916,5.96489,4.15864,1.43752e-06,1.43752e-06,1.43752e-06
4,5.50408,3.39454,5.54389,4.37656,0,0,0,0,3.37932,5.96498,4.15856,1.44942e-06,1.44942e-06,1.44942e-06
5,6.62947,3.66354,5.60213,4.29459,0,0,0,0,3.37948,5.96517,4.1585,9.9008e-07,9.9008e-07,9.9008e-07
